SA2_code,y.thyroid.male,sd.thyroid.male,y.thyroid.female,sd.thyroid.female,y.thyroid.persons,sd.thyroid.persons
51169,1,0.05612244897959186,1,0.1913265306122449,1,0.05102040816326532
51170,1,0.05612244897959186,1,0.17091836734693877,1,0.05102040816326532
51171,1,0.0637755102040816,1.03,0.2933673469387755,1,0.05357142857142859
51172,1,0.05612244897959186,1,0.18877551020408162,1,0.05102040816326532
51173,1,0.06632653061224493,1.01,0.22193877551020408,1,0.058673469387755126
51174,1,0.06887755102040814,1.03,0.2295918367346939,1,0.06632653061224487
51175,1,0.09183673469387756,1.07,0.2551020408163265,1,0.07397959183673468
51176,1,0.06887755102040814,1.03,0.2066326530612245,1,0.05612244897959186
51177,1,0.07397959183673468,1,0.19387755102040813,1,0.0637755102040816
51178,1,0.06632653061224487,1.05,0.1913265306122449,1,0.05102040816326532
51179,1,0.06632653061224487,1.04,0.2423469387755102,1,0.05357142857142859
51180,1,0.06122448979591834,1.02,0.17857142857142858,1,0.04846938775510205
51181,1,0.07397959183673468,1.04,0.18112244897959184,1,0.06122448979591834
51182,1,0.06122448979591834,1.01,0.17857142857142858,1,0.04846938775510205
51183,1,0.07397959183673468,1.06,0.24489795918367346,1,0.0637755102040816
51184,1,0.07142857142857141,1.01,0.20153061224489796,1,0.05612244897959186
51185,1,0.04846938775510205,1.01,0.19387755102040816,1,0.043367346938775524
51186,1,0.0688775510204082,1.04,0.2423469387755102,1,0.0637755102040816
51187,0.99,0.07142857142857147,1,0.2653061224489796,1,0.0637755102040816
51188,1,0.0688775510204082,1.05,0.25255102040816324,1,0.05612244897959186
51189,1,0.06377551020408166,1.01,0.21173469387755103,1,0.05102040816326532
51190,1,0.08163265306122448,1.01,0.24744897959183673,1,0.06887755102040814
51191,1,0.06632653061224493,1.01,0.298469387755102,1,0.06887755102040814
51192,1,0.07653061224489797,1.03,0.2959183673469388,1,0.0637755102040816
51193,0.99,0.08418367346938778,0.98,0.2959183673469388,1,0.06632653061224487
51194,0.99,0.09693877551020405,0.99,0.25765306122448983,1,0.09693877551020408
51195,1,0.06377551020408166,1.01,0.18622448979591832,1,0.05612244897959186
51196,1,0.10969387755102039,1.01,0.27295918367346933,0.99,0.09438775510204078
51197,1,0.07142857142857141,1.02,0.24234693877551022,1,0.061224489795918394
51198,1,0.07653061224489795,0.95,0.36479591836734687,1,0.07397959183673468
51199,1,0.08163265306122448,0.96,0.2678571428571428,1,0.06632653061224487
51200,1,0.09438775510204081,0.96,0.211734693877551,1,0.07908163265306122
51202,1,0.04846938775510205,0.99,0.16581632653061223,1,0.043367346938775524
51203,1,0.04846938775510205,1.04,0.18622448979591838,1,0.043367346938775524
51205,1,0.11224489795918369,1.02,0.2908163265306123,0.99,0.09948979591836735
51206,1,0.06632653061224487,0.98,0.19897959183673466,1,0.0637755102040816
51207,1,0.06122448979591834,1,0.20153061224489793,1,0.05612244897959186
51208,1,0.07397959183673468,0.98,0.2780612244897959,1,0.06887755102040814
51209,1,0.08163265306122448,1.01,0.24234693877551022,1,0.06887755102040814
51210,1,0.07908163265306122,0.94,0.23979591836734696,1,0.07653061224489795
51211,1,0.07397959183673468,0.97,0.19897959183673466,1,0.07142857142857141
51212,1,0.07653061224489795,0.97,0.27806122448979587,1,0.07142857142857141
51213,1,0.08673469387755102,1,0.2270408163265306,1,0.07653061224489795
51214,1,0.08418367346938775,0.99,0.23469387755102042,1,0.07653061224489795
51215,1,0.05102040816326532,1.02,0.1760204081632653,1,0.043367346938775524
51216,1,0.06632653061224487,0.99,0.18622448979591832,1,0.05357142857142859
