SA2_code,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
21210,0.91,0.10204081632653059,0.97,0.11479591836734693,0.92,0.08163265306122451
21211,0.94,0.08163265306122451,1.01,0.09183673469387756,0.96,0.07397959183673473
21212,0.91,0.0663265306122449,1,0.07142857142857141,0.94,0.05612244897959186
21213,0.94,0.06887755102040817,1,0.07653061224489795,0.95,0.058673469387755126
21214,0.91,0.09183673469387758,0.95,0.10459183673469385,0.91,0.0739795918367347
21215,0.92,0.09183673469387758,1.01,0.10969387755102042,0.95,0.07653061224489797
21216,0.95,0.08163265306122446,1.01,0.09948979591836735,0.95,0.06632653061224493
21217,0.97,0.08163265306122448,0.99,0.10714285714285712,0.96,0.07397959183673473
21218,0.91,0.0663265306122449,1,0.08673469387755102,0.93,0.05102040816326532
21219,0.97,0.07397959183673468,1.01,0.09693877551020408,0.98,0.05612244897959186
21220,0.92,0.08673469387755105,1.01,0.10714285714285712,0.94,0.06632653061224493
