SA2_code,y.all.male,sd.all.male,y.all.female,sd.all.female,y.all.persons,sd.all.persons
51190,1.03,0.07653061224489795,0.95,0.0688775510204082,0.98,0.05612244897959186
51191,0.85,0.08928571428571429,0.93,0.08163265306122451,0.83,0.07142857142857144
51192,1.01,0.08673469387755102,1.02,0.07653061224489795,1.02,0.06887755102040814
51193,0.98,0.09183673469387756,0.99,0.08673469387755102,0.96,0.07397959183673473
51194,1.12,0.10714285714285715,1.25,0.1326530612244898,1.21,0.09183673469387751
51195,1.07,0.10969387755102042,1.12,0.10459183673469388,1.08,0.09693877551020408
51196,1.31,0.1326530612244898,1.31,0.17091836734693877,1.38,0.11479591836734693
51197,1.15,0.12244897959183673,1.19,0.11224489795918366,1.2,0.11224489795918366
51198,1.38,0.14285714285714288,1.27,0.14285714285714288,1.42,0.13010204081632654
51199,1.19,0.10204081632653059,1.23,0.12244897959183673,1.24,0.08928571428571426
51200,1.16,0.12755102040816324,1.19,0.15306122448979595,1.19,0.1173469387755102
51202,1.18,0.08673469387755105,1.16,0.08163265306122451,1.19,0.07653061224489797
51203,1.26,0.10459183673469385,1.21,0.08928571428571426,1.3,0.0969387755102041
51205,1.04,0.11734693877551022,1.25,0.16326530612244902,1.13,0.0969387755102041
51206,1.31,0.12755102040816327,1.37,0.12755102040816327,1.43,0.10969387755102039
51207,1.36,0.13520408163265302,1.37,0.12244897959183673,1.49,0.1403061224489796
51208,1.37,0.1454081632653061,1.36,0.13775510204081629,1.43,0.125
51209,1.18,0.16071428571428573,1.29,0.1479591836734694,1.29,0.14285714285714288
51210,0.99,0.07142857142857141,1.1,0.08928571428571432,1.05,0.06122448979591834
51211,1.04,0.08928571428571429,1.05,0.09183673469387756,1.03,0.08418367346938775
51212,1.14,0.1301020408163265,1.07,0.10714285714285715,1.12,0.09948979591836737
51213,1.04,0.10204081632653061,1.03,0.09438775510204081,1.02,0.07908163265306122
51214,1.1,0.12500000000000003,1.06,0.11734693877551022,1.08,0.09948979591836735
51215,1.21,0.09693877551020405,1.15,0.07908163265306124,1.24,0.08928571428571426
51216,1.15,0.10969387755102039,1.03,0.08163265306122448,1.1,0.08418367346938778
51217,1.08,0.08673469387755102,1.09,0.08163265306122451,1.11,0.0739795918367347
51218,1.16,0.12755102040816327,1.18,0.10714285714285712,1.21,0.1173469387755102
51219,1.23,0.10204081632653059,1.22,0.08673469387755099,1.29,0.08928571428571426
51220,1.09,0.14030612244897958,1.15,0.163265306122449,1.1,0.11989795918367349
51221,1.16,0.21428571428571425,1.19,0.1862244897959184,1.18,0.1862244897959184
51222,1.1,0.13520408163265304,1.1,0.13520408163265304,1.07,0.12244897959183676
51223,1.21,0.13010204081632654,1.19,0.13010204081632654,1.27,0.12755102040816327
51224,1.28,0.15306122448979595,1.17,0.14285714285714285,1.28,0.11989795918367346
51225,1.05,0.08163265306122448,0.97,0.07142857142857147,1.02,0.06122448979591834
51226,0.98,0.08673469387755102,0.99,0.08163265306122448,0.97,0.07908163265306122
51227,0.98,0.09948979591836732,0.97,0.09693877551020405,0.97,0.08673469387755099
51228,0.97,0.09438775510204078,1.01,0.09693877551020408,1,0.08928571428571429
51229,1.03,0.09693877551020408,1.09,0.08928571428571429,1.08,0.08928571428571429
51230,1.17,0.11479591836734693,1.07,0.09183673469387756,1.16,0.09948979591836737
51231,1.05,0.08673469387755102,1.03,0.08163265306122448,1.05,0.07653061224489795
51232,0.98,0.1173469387755102,0.95,0.09693877551020405,0.95,0.09183673469387751
51233,0.98,0.09183673469387756,0.98,0.08673469387755102,0.99,0.07397959183673468
51234,0.99,0.08928571428571429,1.04,0.09948979591836735,1.04,0.08673469387755102
51236,1.03,0.09438775510204081,0.98,0.08163265306122448,1.01,0.08163265306122448
51237,0.98,0.08418367346938775,1.07,0.07653061224489795,1.02,0.06887755102040814
51238,1.04,0.08418367346938775,1.09,0.08673469387755102,1.09,0.08418367346938775
51239,1.1,0.09183673469387758,0.9,0.07653061224489797,1,0.06887755102040814
51240,1,0.09438775510204081,0.99,0.08418367346938775,0.97,0.07653061224489795
51241,1.06,0.08673469387755102,1.04,0.07142857142857141,1.06,0.07142857142857141
51242,1.12,0.09183673469387758,1.1,0.0739795918367347,1.15,0.07908163265306124
51243,1.06,0.07908163265306122,1.12,0.0739795918367347,1.13,0.07142857142857144
51244,1.01,0.08163265306122448,1.01,0.07908163265306122,1,0.07142857142857141
51245,1,0.08163265306122448,1.05,0.07653061224489795,1.02,0.07142857142857141
51246,1.04,0.08418367346938775,1.03,0.06887755102040814,1.05,0.07653061224489795
51247,1.12,0.09183673469387758,1.09,0.0739795918367347,1.14,0.08163265306122451
51248,1.06,0.08673469387755102,1.02,0.07653061224489795,1.05,0.07908163265306122
51249,0.96,0.11224489795918366,0.96,0.1173469387755102,0.94,0.09438775510204078
51250,1.08,0.08418367346938775,1.04,0.07142857142857141,1.09,0.0739795918367347
61001,1.08,0.09183673469387756,1.29,0.1173469387755102,1.26,0.08928571428571426
61002,1.06,0.10459183673469388,1.13,0.10714285714285715,1.09,0.08928571428571429
61003,1.03,0.10714285714285715,1.15,0.10714285714285712,1.11,0.10204081632653061
61004,1.01,0.10714285714285715,1.05,0.09438775510204081,1.04,0.07653061224489795
61005,0.97,0.07908163265306122,1.01,0.07397959183673468,0.96,0.06632653061224493
61006,1.03,0.1173469387755102,1.06,0.12244897959183676,1.05,0.10714285714285715
61007,0.92,0.06887755102040817,1.02,0.07908163265306122,0.95,0.061224489795918394
61008,0.98,0.08418367346938775,1.03,0.08163265306122448,1,0.06632653061224487
61009,1.16,0.1173469387755102,1.03,0.08673469387755102,1.13,0.09183673469387758
61010,1.02,0.09693877551020408,1.06,0.09183673469387756,1.04,0.08673469387755102
61011,1.18,0.14285714285714285,1.02,0.10969387755102042,1.14,0.10459183673469388
61012,0.7,0.10204081632653061,0.96,0.13520408163265307,0.75,0.09438775510204081
61013,0.92,0.1173469387755102,1.03,0.10969387755102042,0.93,0.09948979591836732
61014,1.08,0.10204081632653061,1.16,0.0969387755102041,1.13,0.08418367346938778
61015,1.03,0.08928571428571429,1.14,0.0969387755102041,1.09,0.07653061224489797
61016,1.33,0.13775510204081634,1.05,0.09693877551020408,1.22,0.10204081632653059
